Date,Open,High,Low,Close
01/20/2019,"3,728","3,731","3,506","3,555"
01/19/2019,"3,634","3,784","3,629","3,727"
01/18/2019,"3,650","3,673","3,605","3,634"
01/17/2019,"3,623","3,667","3,579","3,650"
01/16/2019,"3,593","3,688","3,593","3,623"
01/15/2019,"3,693","3,714","3,582","3,593"
01/14/2019,"3,545","3,732","3,526","3,693"
01/13/2019,"3,656","3,675","3,516","3,545"
01/12/2019,"3,674","3,676","3,608","3,655"
01/11/2019,"3,665","3,718","3,624","3,674"
01/10/2019,"4,029","4,067","3,616","3,665"
01/09/2019,"4,034","4,077","4,000","4,029"
01/08/2019,"4,041","4,136","4,004","4,034"
01/07/2019,"4,072","4,110","3,997","4,040"
01/06/2019,"3,880","4,072","3,810","4,072"
01/05/2019,"3,878","3,912","3,859","3,880"
01/04/2019,"3,840","3,895","3,774","3,878"
01/03/2019,"3,937","3,964","3,813","3,841"
01/02/2019,"3,767","3,943","3,757","3,931"
01/01/2019,"3,722","3,788","3,697","3,769"
12/31/2018,"3,859","3,888","3,697","3,721"
12/30/2018,"3,963","3,971","3,744","3,859"
12/29/2018,"3,938","3,981","3,864","3,963"
12/28/2018,"3,626","3,994","3,610","3,939"
12/27/2018,"3,812","3,877","3,613","3,631"
12/26/2018,"3,827","3,899","3,728","3,809"
12/25/2018,"4,100","4,111","3,728","3,827"
12/24/2018,"3,993","4,284","3,953","4,100"
12/23/2018,"3,932","4,103","3,885","3,999"
12/22/2018,"3,893","3,979","3,835","3,933"
12/21/2018,"4,036","4,190","3,822","3,893"
12/20/2018,"3,704","4,210","3,704","4,036"
12/19/2018,"3,575","3,960","3,563","3,704"
12/18/2018,"3,536","3,608","3,475","3,574"
12/17/2018,"3,240","3,613","3,220","3,539"
12/16/2018,"3,236","3,298","3,213","3,241"
12/15/2018,"3,188","3,266","3,156","3,236"
12/14/2018,"3,285","3,324","3,168","3,188"
12/13/2018,"3,476","3,477","3,261","3,287"
12/12/2018,"3,402","3,521","3,357","3,476"
12/11/2018,"3,441","3,467","3,330","3,403"
12/10/2018,"3,567","3,624","3,397","3,441"
12/09/2018,"3,304","3,672","3,285","3,567"
12/08/2018,"3,415","3,503","3,278","3,298"
12/07/2018,"3,628","3,654","3,236","3,396"
12/06/2018,"3,748","3,863","3,590","3,628"
12/05/2018,"3,923","3,942","3,698","3,748"
12/04/2018,"3,892","4,062","3,775","3,923"
12/03/2018,"4,174","4,180","3,778","3,892"
12/02/2018,"4,196","4,286","4,056","4,179"
12/01/2018,"3,942","4,274","3,911","4,196"
11/30/2018,"4,207","4,311","3,893","3,947"
11/29/2018,"4,252","4,414","4,116","4,207"
11/28/2018,"3,797","4,370","3,777","4,252"
11/27/2018,"3,694","3,820","3,606","3,802"
11/26/2018,"4,080","4,122","3,567","3,678"
11/25/2018,"3,832","4,130","3,522","4,088"
11/24/2018,"4,292","4,404","3,795","3,832"
11/23/2018,"4,457","4,472","4,135","4,292"
11/22/2018,"4,483","4,617","4,396","4,458"
11/21/2018,"4,385","4,663","4,249","4,487"
11/20/2018,"4,820","4,929","4,127","4,369"
11/19/2018,"5,571","5,583","4,733","4,820"
11/18/2018,"5,517","5,645","5,505","5,571"
11/17/2018,"5,484","5,566","5,455","5,518"
11/16/2018,"5,513","5,643","5,477","5,479"
11/15/2018,"5,630","5,711","5,263","5,508"
11/14/2018,"6,330","6,342","5,406","5,630"
11/13/2018,"6,339","6,357","6,293","6,330"
11/12/2018,"6,339","6,407","6,334","6,339"
11/11/2018,"6,385","6,386","6,301","6,342"
11/10/2018,"6,350","6,395","6,346","6,385"
11/09/2018,"6,440","6,446","6,332","6,351"
11/08/2018,"6,520","6,529","6,419","6,440"
11/07/2018,"6,438","6,555","6,438","6,520"
11/06/2018,"6,417","6,467","6,402","6,438"
11/05/2018,"6,431","6,455","6,389","6,417"
11/04/2018,"6,351","6,473","6,328","6,431"
11/03/2018,"6,371","6,376","6,322","6,351"
11/02/2018,"6,351","6,396","6,348","6,371"
11/01/2018,"6,319","6,354","6,311","6,351"
10/31/2018,"6,282","6,359","6,216","6,319"
10/30/2018,"6,265","6,312","6,257","6,281"
10/29/2018,"6,414","6,437","6,244","6,265"
10/28/2018,"6,425","6,436","6,402","6,414"
10/27/2018,"6,437","6,454","6,412","6,424"
10/26/2018,"6,436","6,484","6,416","6,437"
10/25/2018,"6,462","6,465","6,414","6,437"
10/24/2018,"6,434","6,500","6,429","6,462"
10/23/2018,"6,454","6,458","6,404","6,434"
10/22/2018,"6,483","6,483","6,416","6,455"
10/21/2018,"6,448","6,502","6,443","6,483"
10/20/2018,"6,417","6,466","6,404","6,448"
10/19/2018,"6,446","6,467","6,409","6,417"
10/18/2018,"6,509","6,553","6,428","6,446"
10/17/2018,"6,521","6,558","6,477","6,509"
10/16/2018,"6,469","6,591","6,452","6,522"
10/15/2018,"6,251","6,961","6,189","6,469"
10/14/2018,"6,221","6,303","6,221","6,251"
10/13/2018,"6,241","6,246","6,203","6,221"
10/12/2018,"6,228","6,264","6,142","6,241"
10/11/2018,"6,559","6,559","6,126","6,226"
10/10/2018,"6,596","6,614","6,464","6,559"
10/09/2018,"6,640","6,642","6,567","6,596"
10/08/2018,"6,543","6,672","6,541","6,640"
10/07/2018,"6,563","6,569","6,506","6,543"
10/06/2018,"6,551","6,654","6,542","6,562"
10/05/2018,"6,556","6,589","6,525","6,551"
10/04/2018,"6,448","6,595","6,423","6,556"
10/03/2018,"6,532","6,545","6,410","6,448"
10/02/2018,"6,556","6,600","6,468","6,532"
10/01/2018,"6,564","6,643","6,501","6,556"
09/30/2018,"6,581","6,639","6,528","6,562"
09/29/2018,"6,646","6,652","6,467","6,580"
09/28/2018,"6,696","6,794","6,536","6,646"
09/27/2018,"6,501","6,731","6,432","6,696"
09/26/2018,"6,387","6,540","6,373","6,501"
09/25/2018,"6,625","6,630","6,334","6,392"
09/24/2018,"6,677","6,719","6,576","6,628"
09/23/2018,"6,717","6,768","6,664","6,677"
09/22/2018,"6,717","6,824","6,631","6,717"
09/21/2018,"6,378","6,777","6,362","6,717"
09/20/2018,"6,425","6,450","6,352","6,373"
09/19/2018,"6,318","6,494","6,117","6,425"
09/18/2018,"6,219","6,382","6,216","6,316"
09/17/2018,"6,501","6,529","6,211","6,221"
09/16/2018,"6,532","6,532","6,383","6,501"
09/15/2018,"6,537","6,567","6,353","6,532"
09/14/2018,"6,467","6,580","6,415","6,537"
09/13/2018,"6,308","6,524","6,298","6,467"
09/12/2018,"6,253","6,332","6,204","6,308"
09/11/2018,"6,302","6,391","6,190","6,254"
09/10/2018,"6,387","6,390","6,216","6,300"
09/09/2018,"6,173","6,438","6,157","6,387"
09/08/2018,"6,447","6,466","6,120","6,173"
09/07/2018,"6,444","6,531","6,330","6,445"
09/06/2018,"6,952","6,981","6,279","6,444"
09/05/2018,"7,363","7,387","6,866","6,948"
09/04/2018,"7,299","7,404","7,237","7,363"
09/03/2018,"7,282","7,325","7,198","7,299"
09/02/2018,"7,195","7,328","7,137","7,282"
09/01/2018,"7,043","7,260","7,003","7,195"
08/31/2018,"6,913","7,084","6,899","7,044"
08/30/2018,"7,039","7,064","6,801","6,911"
08/29/2018,"7,082","7,120","6,922","7,039"
08/28/2018,"6,721","7,125","6,715","7,082"
08/27/2018,"6,678","6,750","6,658","6,721"
08/26/2018,"6,719","6,774","6,579","6,677"
08/25/2018,"6,612","6,934","6,611","6,720"
08/24/2018,"6,419","6,643","6,419","6,612"
